shop_id,good_num,cmmt_num,consume,offer_cnt,ord_cnt,sale_amt_3m,sale_amt_3m
1,727,758,15209.22,459,2087,248421.73,248421.73
2,189,215,,290,738,55028.44,55028.44
3,392,431,835690.1,129,1056,150484.42,150484.42
4,75,77,954274.89,7,260,27053.83,27053.83
5,5180,5184,,191,1271,193567.19,193567.19
6,15939,16038,102834.06,1165,2999,108612,108612
7,893,919,,2376,2507,112560.43,112560.43
8,418,431,973842.85,1308,1422,154564.16,154564.16
9,4376,4426,,3338,3817,323180.44,323180.44
10,32,35,,126,180,23460.76,23460.76
11,490,493,,0,1423,235973.75,235973.75
12,770,836,,2530,2538,109345.43,109345.43
13,134,162,13990.52,117,520,37082.43,37082.43
14,647,804,,1070,3194,95863.06,95863.06
15,224,236,1580520.23,410,1097,141558.98,141558.98
16,2935,2959,185361.26,980,1923,223576.41,223576.41
17,15444,15503,,4092,5544,197638.69,197638.69
18,171,175,,0,251,34417.55,34417.55
19,289,316,,66,907,76139.45,76139.45
20,367,389,1315947.12,1238,1541,91068.6,91068.6
21,98,107,,106,276,49364.04,49364.04
22,11608,11646,200.62,2787,3613,132868.94,132868.94
23,132,153,,91,324,49840.62,49840.62
24,2204,2219,182706.8,1674,1764,200461.48,200461.48
25,478,521,94207.82,776,1058,86819.94,86819.94
26,4359,4465,749391.91,2024,3330,206325.93,206325.93
27,229,231,168246.09,58,476,74312.02,74312.02
28,6239,6268,,26,6689,507782.44,507782.44
29,1945,1978,,1784,2634,231050.32,231050.32
30,2167,2186,118760.51,886,1227,70143.97,70143.97
31,404,444,,48,770,62705.69,62705.69
32,5083,5091,13841.47,2026,2090,102071.91,102071.91
33,50,56,498557.42,64,233,24523.93,24523.93
34,1320,1369,253498.12,0,4149,177815.85,177815.85
35,89,96,341966.31,15,362,53240.3,53240.3
36,1527,1931,,0,7503,150596.08,150596.08
37,99,109,,59,495,44168.86,44168.86
38,125,131,,409,417,37040.29,37040.29
39,2257,2263,,2486,2513,558964.37,558964.37
40,363,386,102094.68,513,674,47528.93,47528.93
41,6039,6194,1219697.6,198,16347,323447.1,323447.1
42,106,113,,93,368,46147.77,46147.77
43,60,65,,122,185,22248.76,22248.76
44,869,888,39944.8,129,1539,163032.24,163032.24
45,421,498,146971.75,0,1470,113791.02,113791.02
46,162,168,5871.86,181,278,34190,34190
47,3981,4195,,7384,7403,154108.34,154108.34
48,1359,1363,94367.66,935,1090,150853.25,150853.25
49,1828,1845,23723.91,249,1301,263986.03,263986.03
50,3344,3406,,2753,3282,247527.55,247527.55
51,813,823,,1020,1098,89095.46,89095.46
52,635,773,,1611,2333,63363.98,63363.98
53,1035,1130,293567.79,1753,2070,82233.75,82233.75
54,397,407,266765.83,745,860,96815.75,96815.75
55,660,771,,479,2774,108285.21,108285.21
56,268,295,,556,579,54587.91,54587.91
57,62,74,,0,399,21802.74,21802.74
58,664,686,,0,1817,73270.98,73270.98
59,422,459,,989,1047,189849.53,189849.53
60,1020,1026,44773.7,395,587,58834.36,58834.36
61,306,328,,660,865,83357.88,83357.88
62,1420,1449,,550,2765,212139.16,212139.16
63,324,367,,149,544,37033.19,37033.19
64,5301,5309,300335.6,2907,2943,182257.76,182257.76
65,78,85,176.17,2,339,18594.56,18594.56
66,84,91,310485.01,267,272,52978.42,52978.42
67,52,53,,90,93,33731.52,33731.52
68,308,331,,91,873,165063.02,165063.02
69,6205,6276,,2979,3424,183569.54,183569.54
70,4831,4901,45806.21,6037,6708,407511.16,407511.16
71,13821,13826,,2568,2977,309728.13,309728.13
72,29592,31267,,2192,31991,291289.45,291289.45
73,34282,34309,9235.09,4673,5710,246567.46,246567.46
74,9,10,,0,43,11232.17,11232.17
75,1783,1841,1434479.89,1082,2643,200005.49,200005.49
76,312,336,95367.83,233,822,33858.63,33858.63
77,160,168,,29,368,18083.96,18083.96
78,73780,73928,946871.97,9781,14146,575212.89,575212.89
79,1446,1469,9970.61,1606,2068,112501.2,112501.2
80,6010,6064,,1225,2599,166986.42,166986.42
81,1870,1889,,337,1139,170373.58,170373.58
82,19535,19613,277.68,4581,6224,195307.31,195307.31
83,1555,1626,,694,1453,147880.39,147880.39
84,1747,1846,,2960,4950,179023.65,179023.65
85,2461,2686,1939226.12,6136,7765,341077.68,341077.68
86,172,179,,155,464,106362.38,106362.38
87,65,66,219088.63,2,93,115887.3,115887.3
88,112,136,0,140,513,21151.89,21151.89
89,9200,9404,,737,8330,465985.6,465985.6
90,1871,2359,,5551,7782,116576.19,116576.19
91,118,127,,118,242,20240.86,20240.86
92,3603,3625,122309.01,823,1173,81023.75,81023.75
93,594,640,1253821.55,24,2719,254898.04,254898.04
94,276,284,75346.8,493,745,77842.98,77842.98
95,15991,16080,,2096,4662,425828.65,425828.65
96,6977,7129,1455814.32,1673,15079,692149.65,692149.65
97,51,58,,4,293,39563.25,39563.25
98,677,700,,2,1159,131370.74,131370.74
99,236,281,,591,1082,23394.44,23394.44
100,338,346,,302,683,45856.21,45856.21
101,1261,1274,192823.82,919,944,64355.25,64355.25
102,4517,4652,127425.17,1934,3609,264217.81,264217.81
103,446,511,243691.74,300,2215,65224.03,65224.03
104,165,175,,165,509,12680.23,12680.23
105,183,210,201522,132,620,59934.75,59934.75
106,262,275,44361.12,185,295,31167.42,31167.42
107,632,651,92396.87,484,734,89226.29,89226.29
108,231,231,,143,352,73615.12,73615.12
109,1843,1918,,781,2850,170865.36,170865.36
110,47,59,725.82,12,314,33734.49,33734.49
111,406,423,396318.99,0,3203,401110.28,401110.28
112,396,403,,703,706,79298.31,79298.31
113,177,184,,86,256,12086.2,12086.2
114,88,107,,47,421,46895.26,46895.26
115,36,40,,31,107,16196.98,16196.98
116,5859,5952,,5479,5962,533802.39,533802.39
117,347,350,,174,471,45757.92,45757.92
118,118,134,13164.81,2,662,26405.87,26405.87
119,1519,1562,,3,1668,96884.55,96884.55
120,6748,6768,,1820,2003,54052.99,54052.99
121,2769,2780,,3537,3549,348674.52,348674.52
122,432,493,,275,1803,58321.52,58321.52
123,202,214,,323,390,187986.58,187986.58
124,324,325,348.99,282,347,47971.81,47971.81
125,1028,1084,3305684.27,538,2494,132455.13,132455.13
126,18,19,,0,60,18634.38,18634.38
127,2880,2899,17144,492,3332,364546.07,364546.07
128,75,78,,0,159,245107.17,245107.17
129,1030,1040,59864.04,0,1421,213902.58,213902.58
130,1130,1179,37821.23,24,2419,400946.75,400946.75
131,117,139,10662.06,6,494,31230.19,31230.19
132,260,281,471974.86,386,705,50161.91,50161.91
133,208,264,,0,932,81095.59,81095.59
134,29,31,42292.99,25,87,11228.04,11228.04
135,56,61,272.36,100,223,45393.51,45393.51
136,129,140,2312.63,27,371,38962.79,38962.79
137,1454,1470,,1447,1713,161510.87,161510.87
138,260,276,789596.37,636,799,174884.21,174884.21
139,448,458,753050.3,36,830,105716.82,105716.82
140,32,34,,59,60,26781.93,26781.93
141,455,487,920757.08,290,1408,108924.5,108924.5
142,142905,142964,1346883.07,10955,13825,469539.02,469539.02
143,18,20,,71,87,18389.89,18389.89
144,198,198,,139,244,36635.24,36635.24
145,679,693,,1159,1287,94327.39,94327.39
146,192,199,,0,454,56272.33,56272.33
147,946,960,532611.83,798,1005,616274.3,616274.3
148,2226,2254,33841.94,1657,1813,113290.99,113290.99
149,618,643,201516.29,1209,1945,240920.4,240920.4
150,3411,3436,,2034,2245,278700.25,278700.25
151,585,591,,1135,1141,88311.26,88311.26
152,305,343,146663.43,237,627,19015.8,19015.8
153,232,254,,360,856,88867.83,88867.83
154,147,149,,248,281,35948.87,35948.87
155,2104,2113,15407.24,365,1000,284068.63,284068.63
156,9779,10506,861643.61,1953,16855,82572.68,82572.68
157,112,119,,204,352,90251.3,90251.3
158,12530,12585,1820906.14,3298,4305,297424.62,297424.62
159,5635,5660,12067.96,1676,2390,139973.81,139973.81
160,3131,3132,,15,1033,86545.24,86545.24
161,579,619,50464.69,640,928,59753.9,59753.9
162,1511,1579,,2959,3012,111625.37,111625.37
163,416,430,,674,685,46494.67,46494.67
164,9867,9943,,6274,7454,582685.14,582685.14
165,154,169,2694702.52,138,838,134675.8,134675.8
166,403,405,,0,213,35134.48,35134.48
167,680,791,,0,2270,165822.57,165822.57
168,1197,1444,888587.47,140,6612,234250.81,234250.81
169,1287,1411,,0,4999,188940.56,188940.56
170,137,165,,32,544,48299.14,48299.14
171,8866,10138,833034.45,1600,23845,458703.67,458703.67
172,784,916,,720,2565,98183.91,98183.91
173,1901,1917,,780,792,69107.01,69107.01
174,105,122,,0,740,106304.57,106304.57
175,23,30,,45,52,18155.16,18155.16
176,1360,1401,28.99,2260,2299,268091.27,268091.27
177,453,530,,548,1725,179001.84,179001.84
178,257,268,1332136.92,258,659,53457.72,53457.72
179,1106,1146,,27,1979,304918.38,304918.38
180,393,395,,0,244,18038.04,18038.04
181,3335,3366,,2228,4128,313864.06,313864.06
182,1013,1087,4824045.08,1137,2593,296630.05,296630.05
183,11392,11444,,6165,7016,530178.92,530178.92
184,58,88,949144.77,76,488,64046.22,64046.22
185,75,82,,258,292,36396.54,36396.54
186,2909,3099,2733267.01,8055,8139,250884.83,250884.83
187,771,791,655310.27,1206,1206,219011.05,219011.05
188,121,132,0,0,217,29218.17,29218.17
189,1605,2071,,2203,7879,135898.79,135898.79
190,330,395,,139,1646,236517.23,236517.23
191,9031,9121,,2942,4543,271610.5,271610.5
192,4075,4091,216.67,2615,3094,255903.56,255903.56
193,143,161,2078592.03,218,743,153952.47,153952.47
194,911,914,54809.8,715,1198,87753.61,87753.61
195,17,18,,52,66,14184.95,14184.95
196,1658,1724,0,1814,1957,173042.19,173042.19
197,9652,9758,,3554,3927,225840.94,225840.94
198,2020,2057,298683.58,1210,2367,124288.59,124288.59
199,596,604,,9,593,92405.39,92405.39
200,20027,20128,,4750,13727,500198.25,500198.25
