shop_id,good_num,cmmt_num,consume,offer_cnt,ord_cnt
1,727.0,758.0,15209.220000000001,459,2087
2,189.0,215.0,,290,738
3,392.0,431.0,835690.0999999996,129,1056
4,75.0,77.0,954274.8899999997,7,260
5,5180.0,5184.0,,191,1271
6,15939.0,16038.0,102834.06000000004,1165,2999
7,893.0,919.0,,2376,2507
8,418.0,431.0,973842.8500000001,1308,1422
9,4376.0,4426.0,,3338,3817
10,32.0,35.0,,126,180
11,490.0,493.0,,0,1423
12,770.0,836.0,,2530,2538
13,134.0,162.0,13990.519999999999,117,520
14,647.0,804.0,,1070,3194
15,224.0,236.0,1580520.23,410,1097
16,2935.0,2959.0,185361.25999999998,980,1923
17,15444.0,15503.0,,4092,5544
18,171.0,175.0,,0,251
19,289.0,316.0,,66,907
20,367.0,389.0,1315947.1199999999,1238,1541
21,98.0,107.0,,106,276
22,11608.0,11646.0,200.61999999999998,2787,3613
23,132.0,153.0,,91,324
24,2204.0,2219.0,182706.79999999996,1674,1764
25,478.0,521.0,94207.82,776,1058
26,4359.0,4465.0,749391.9099999999,2024,3330
27,229.0,231.0,168246.08999999997,58,476
28,6239.0,6268.0,,26,6689
29,1945.0,1978.0,,1784,2634
30,2167.0,2186.0,118760.50999999995,886,1227
31,404.0,444.0,,48,770
32,5083.0,5091.0,13841.469999999998,2026,2090
33,50.0,56.0,498557.42,64,233
34,1320.0,1369.0,253498.11999999994,0,4149
35,89.0,96.0,341966.31,15,362
36,1527.0,1931.0,,0,7503
37,99.0,109.0,,59,495
38,125.0,131.0,,409,417
39,2257.0,2263.0,,2486,2513
40,363.0,386.0,102094.68000000001,513,674
41,6039.0,6194.0,1219697.5999999996,198,16347
42,106.0,113.0,,93,368
43,60.0,65.0,,122,185
44,869.0,888.0,39944.799999999996,129,1539
45,421.0,498.0,146971.75,0,1470
46,162.0,168.0,5871.86,181,278
47,3981.0,4195.0,,7384,7403
48,1359.0,1363.0,94367.66,935,1090
49,1828.0,1845.0,23723.910000000003,249,1301
50,3344.0,3406.0,,2753,3282
51,813.0,823.0,,1020,1098
52,635.0,773.0,,1611,2333
53,1035.0,1130.0,293567.79,1753,2070
54,397.0,407.0,266765.83,745,860
55,660.0,771.0,,479,2774
56,268.0,295.0,,556,579
57,62.0,74.0,,0,399
58,664.0,686.0,,0,1817
59,422.0,459.0,,989,1047
60,1020.0,1026.0,44773.70000000001,395,587
61,306.0,328.0,,660,865
62,1420.0,1449.0,,550,2765
63,324.0,367.0,,149,544
64,5301.0,5309.0,300335.6,2907,2943
65,78.0,85.0,176.17000000000002,2,339
66,84.0,91.0,310485.01000000007,267,272
67,52.0,53.0,,90,93
68,308.0,331.0,,91,873
69,6205.0,6276.0,,2979,3424
70,4831.0,4901.0,45806.21000000001,6037,6708
71,13821.0,13826.0,,2568,2977
72,29592.0,31267.0,,2192,31991
73,34282.0,34309.0,9235.09,4673,5710
74,9.0,10.0,,0,43
75,1783.0,1841.0,1434479.8899999997,1082,2643
76,312.0,336.0,95367.82999999999,233,822
77,160.0,168.0,,29,368
78,73780.0,73928.0,946871.9700000001,9781,14146
79,1446.0,1469.0,9970.609999999997,1606,2068
80,6010.0,6064.0,,1225,2599
81,1870.0,1889.0,,337,1139
82,19535.0,19613.0,277.68,4581,6224
83,1555.0,1626.0,,694,1453
84,1747.0,1846.0,,2960,4950
85,2461.0,2686.0,1939226.1200000015,6136,7765
86,172.0,179.0,,155,464
87,65.0,66.0,219088.63,2,93
88,112.0,136.0,0.0,140,513
89,9200.0,9404.0,,737,8330
90,1871.0,2359.0,,5551,7782
91,118.0,127.0,,118,242
92,3603.0,3625.0,122309.01,823,1173
93,594.0,640.0,1253821.5500000003,24,2719
94,276.0,284.0,75346.79999999999,493,745
95,15991.0,16080.0,,2096,4662
96,6977.0,7129.0,1455814.3200000003,1673,15079
97,51.0,58.0,,4,293
98,677.0,700.0,,2,1159
99,236.0,281.0,,591,1082
100,338.0,346.0,,302,683
101,1261.0,1274.0,192823.82,919,944
102,4517.0,4652.0,127425.17000000001,1934,3609
103,446.0,511.0,243691.74000000022,300,2215
104,165.0,175.0,,165,509
105,183.0,210.0,201522.00000000006,132,620
106,262.0,275.0,44361.119999999995,185,295
107,632.0,651.0,92396.87,484,734
108,231.0,231.0,,143,352
109,1843.0,1918.0,,781,2850
110,47.0,59.0,725.8199999999999,12,314
111,406.0,423.0,396318.99000000005,0,3203
112,396.0,403.0,,703,706
113,177.0,184.0,,86,256
114,88.0,107.0,,47,421
115,36.0,40.0,,31,107
116,5859.0,5952.0,,5479,5962
117,347.0,350.0,,174,471
118,118.0,134.0,13164.81,2,662
119,1519.0,1562.0,,3,1668
120,6748.0,6768.0,,1820,2003
121,2769.0,2780.0,,3537,3549
122,432.0,493.0,,275,1803
123,202.0,214.0,,323,390
124,324.0,325.0,348.99,282,347
125,1028.0,1084.0,3305684.2700000005,538,2494
126,18.0,19.0,,0,60
127,2880.0,2899.0,17144.000000000004,492,3332
128,75.0,78.0,,0,159
129,1030.0,1040.0,59864.04,0,1421
130,1130.0,1179.0,37821.229999999996,24,2419
131,117.0,139.0,10662.06,6,494
132,260.0,281.0,471974.85999999987,386,705
133,208.0,264.0,,0,932
134,29.0,31.0,42292.990000000005,25,87
135,56.0,61.0,272.36,100,223
136,129.0,140.0,2312.6300000000006,27,371
137,1454.0,1470.0,,1447,1713
138,260.0,276.0,789596.3699999999,636,799
139,448.0,458.0,753050.3,36,830
140,32.0,34.0,,59,60
141,455.0,487.0,920757.0800000002,290,1408
142,142905.0,142964.0,1346883.0699999998,10955,13825
143,18.0,20.0,,71,87
144,198.0,198.0,,139,244
145,679.0,693.0,,1159,1287
146,192.0,199.0,,0,454
147,946.0,960.0,532611.83,798,1005
148,2226.0,2254.0,33841.94,1657,1813
149,618.0,643.0,201516.29,1209,1945
150,3411.0,3436.0,,2034,2245
151,585.0,591.0,,1135,1141
152,305.0,343.0,146663.43,237,627
153,232.0,254.0,,360,856
154,147.0,149.0,,248,281
155,2104.0,2113.0,15407.240000000002,365,1000
156,9779.0,10506.0,861643.6099999999,1953,16855
157,112.0,119.0,,204,352
158,12530.0,12585.0,1820906.1400000006,3298,4305
159,5635.0,5660.0,12067.96,1676,2390
160,3131.0,3132.0,,15,1033
161,579.0,619.0,50464.68999999999,640,928
162,1511.0,1579.0,,2959,3012
163,416.0,430.0,,674,685
164,9867.0,9943.0,,6274,7454
165,154.0,169.0,2694702.520000001,138,838
166,403.0,405.0,,0,213
167,680.0,791.0,,0,2270
168,1197.0,1444.0,888587.47,140,6612
169,1287.0,1411.0,,0,4999
170,137.0,165.0,,32,544
171,8866.0,10138.0,833034.4500000001,1600,23845
172,784.0,916.0,,720,2565
173,1901.0,1917.0,,780,792
174,105.0,122.0,,0,740
175,23.0,30.0,,45,52
176,1360.0,1401.0,28.990000000000002,2260,2299
177,453.0,530.0,,548,1725
178,257.0,268.0,1332136.9199999997,258,659
179,1106.0,1146.0,,27,1979
180,393.0,395.0,,0,244
181,3335.0,3366.0,,2228,4128
182,1013.0,1087.0,4824045.080000002,1137,2593
183,11392.0,11444.0,,6165,7016
184,58.0,88.0,949144.7699999998,76,488
185,75.0,82.0,,258,292
186,2909.0,3099.0,2733267.0100000002,8055,8139
187,771.0,791.0,655310.2700000001,1206,1206
188,121.0,132.0,0.0,0,217
189,1605.0,2071.0,,2203,7879
190,330.0,395.0,,139,1646
191,9031.0,9121.0,,2942,4543
192,4075.0,4091.0,216.67,2615,3094
193,143.0,161.0,2078592.03,218,743
194,911.0,914.0,54809.8,715,1198
195,17.0,18.0,,52,66
196,1658.0,1724.0,0.0,1814,1957
197,9652.0,9758.0,,3554,3927
198,2020.0,2057.0,298683.5800000001,1210,2367
199,596.0,604.0,,9,593
200,20027.0,20128.0,,4750,13727
201,2618.0,3245.0,136141.41999999998,80,4155
202,1130.0,1151.0,0.0,1191,1803
203,61.0,62.0,1125.19,17,183
204,67.0,78.0,,11,392
205,26.0,33.0,,27,66
206,284.0,313.0,,270,332
207,986.0,1088.0,1167396.0000000007,806,2430
208,3172.0,3230.0,,2834,3851
209,77.0,83.0,13322.459999999995,188,250
210,2014.0,2064.0,47317.97999999999,1171,1566
211,879.0,938.0,,1374,1387
212,1479.0,1512.0,66870.62000000001,2624,2634
213,1782.0,1833.0,794404.19,468,2934
214,694.0,717.0,287533.17000000016,583,847
215,135.0,150.0,,55,490
216,9562.0,9595.0,296039.12999999995,1136,1569
217,1463.0,1631.0,332479.8,732,4239
218,2543.0,2726.0,239584.83000000005,115,8017
219,190.0,234.0,67361.78,3,311
220,2264.0,2300.0,,2614,3316
221,148.0,159.0,1982296.5600000003,26,828
222,3036.0,3080.0,45.14,1864,3623
223,1235.0,1263.0,45892.560000000005,106,1302
224,2263.0,2334.0,,3423,4930
225,87.0,110.0,,25,497
226,63.0,67.0,,0,192
227,86.0,90.0,,179,274
228,2755.0,3779.0,,4387,13109
229,6743.0,6827.0,,3717,3738
230,3078.0,3260.0,112880.93,2970,7139
231,1326.0,1520.0,,36,4388
232,788.0,823.0,,0,2449
233,175.0,189.0,,217,341
234,687.0,759.0,,1,2203
235,46.0,48.0,21546.529999999995,0,191
236,486.0,499.0,,0,1424
237,298.0,302.0,1558336.5899999999,402,569
238,13930.0,13952.0,14.49,2742,3031
239,4149.0,4683.0,,4633,13891
240,24121.0,24197.0,,2867,4951
241,609.0,649.0,,1846,1910
242,35.0,40.0,,0,227
243,1040.0,1060.0,60029.76,366,1535
244,1182.0,1262.0,,248,1892
245,1951.0,2113.0,4853903.409999997,2933,4397
246,618.0,620.0,,0,608
247,338.0,391.0,,1640,2318
248,604.0,626.0,507367.04999999993,983,1500
249,545.0,566.0,51443.149999999994,78,1066
250,2833.0,2972.0,100.15,2,5830
251,1838.0,1871.0,,2442,2598
252,43.0,44.0,13551.900000000001,4,185
253,561.0,569.0,,0,1169
254,66.0,80.0,,40,341
255,282.0,325.0,769656.74,1013,1013
256,1238.0,1278.0,4798227.559999999,1683,3568
257,193.0,209.0,,8,650
258,5031.0,5118.0,,2379,4406
259,248.0,271.0,120616.36000000002,189,815
260,1405.0,1489.0,656155.62,3327,4218
261,75.0,85.0,,408,409
262,3963.0,4208.0,,0,6287
263,104.0,112.0,,5,356
264,21626.0,21682.0,,6793,7970
265,71.0,79.0,954651.8899999998,3,551
266,187.0,193.0,,40,498
267,58.0,67.0,92.57,34,128
268,91.0,108.0,,37,587
269,755.0,764.0,,667,679
270,279.0,287.0,269.73,852,870
271,4853.0,4863.0,,2930,3197
272,272.0,282.0,,0,724
273,5317.0,5321.0,15648.01,495,592
274,67.0,69.0,,0,155
275,7650.0,7657.0,,852,1091
276,372.0,413.0,192768.83,175,504
277,1278.0,1341.0,14413709.839999996,699,3734
278,47.0,54.0,66651.98000000001,11,173
279,2163.0,2311.0,,4280,4405
280,5254.0,5267.0,11278.050000000001,3292,3961
281,1253.0,1413.0,,989,5989
282,772.0,840.0,117820.97,965,2101
283,1866.0,1868.0,,559,564
284,369.0,370.0,1717.3999999999999,139,274
285,188.0,189.0,29423.180000000004,6,294
286,5276.0,5281.0,,1845,2346
287,4404.0,4417.0,757238.1100000001,2079,2431
288,88077.0,88181.0,145996.27999999997,9978,11867
289,3615.0,3644.0,55.15,466,598
290,23.0,27.0,,47,95
291,376.0,451.0,,1126,1380
292,4790.0,4821.0,163916.59000000003,0,2318
293,747.0,778.0,862141.9699999999,216,1763
294,36.0,38.0,,0,216
295,580.0,627.0,402659.82999999996,378,1477
296,62.0,69.0,,59,282
297,607.0,702.0,,301,1808
298,2697.0,2705.0,,1917,2289
299,402.0,418.0,1070338.67,643,705
300,897.0,948.0,,963,1740
301,823.0,877.0,96768.57999999999,1445,2085
302,1877.0,1931.0,,3208,3393
303,553.0,562.0,88604.76,151,478
304,920.0,1135.0,,775,4383
305,1828.0,1920.0,,8768,9742
306,1460.0,1468.0,21383.679999999997,481,782
307,710.0,711.0,,334,521
308,585.0,588.0,168953.06999999998,329,658
309,189.0,256.0,485915.53,34,503
310,261.0,322.0,4774.44,538,1183
311,7362.0,7371.0,207798.63,1668,1755
312,2171.0,2195.0,1329599.46,3743,3756
313,36.0,36.0,,132,132
314,500.0,502.0,555836.9600000001,877,879
315,46.0,51.0,,74,214
316,348.0,388.0,,708,843
317,2443.0,2488.0,739433.2,3271,3299
318,3175.0,3439.0,,1283,3590
319,33.0,39.0,25654.57,4,100
320,223.0,244.0,442554.4100000001,224,492
321,711.0,742.0,240766.40000000008,1419,1723
322,107.0,113.0,64687.23000000001,237,310
323,967.0,1006.0,,2616,3575
324,57.0,61.0,,154,222
