shop_id,sale_amt_3m
1,248421.73
2,55028.44
3,150484.42
4,27053.83
5,193567.19
6,108612.0
7,112560.43
8,154564.16
9,323180.44
10,23460.76
11,235973.75
12,109345.43
13,37082.43
14,95863.06
15,141558.98
16,223576.41
17,197638.69
18,34417.55
19,76139.45
20,91068.6
21,49364.04
22,132868.94
23,49840.62
24,200461.48
25,86819.94
26,206325.93
27,74312.02
28,507782.44
29,231050.32
30,70143.97
31,62705.69
32,102071.91
33,24523.93
34,177815.85
35,53240.3
36,150596.08
37,44168.86
38,37040.29
39,558964.37
40,47528.93
41,323447.1
42,46147.77
43,22248.76
44,163032.24
45,113791.02
46,34190.0
47,154108.34
48,150853.25
49,263986.03
50,247527.55
51,89095.46
52,63363.98
53,82233.75
54,96815.75
55,108285.21
56,54587.91
57,21802.74
58,73270.98
59,189849.53
60,58834.36
61,83357.88
62,212139.16
63,37033.19
64,182257.76
65,18594.56
66,52978.42
67,33731.52
68,165063.02
69,183569.54
70,407511.16
71,309728.13
72,291289.45
73,246567.46
74,11232.17
75,200005.49
76,33858.63
77,18083.96
78,575212.89
79,112501.2
80,166986.42
81,170373.58
82,195307.31
83,147880.39
84,179023.65
85,341077.68
86,106362.38
87,115887.3
88,21151.89
89,465985.6
90,116576.19
91,20240.86
92,81023.75
93,254898.04
94,77842.98
95,425828.65
96,692149.65
97,39563.25
98,131370.74
99,23394.44
100,45856.21
101,64355.25
102,264217.81
103,65224.03
104,12680.23
105,59934.75
106,31167.42
107,89226.29
108,73615.12
109,170865.36
110,33734.49
111,401110.28
112,79298.31
113,12086.2
114,46895.26
115,16196.98
116,533802.39
117,45757.92
118,26405.87
119,96884.55
120,54052.99
121,348674.52
122,58321.52
123,187986.58
124,47971.81
125,132455.13
126,18634.38
127,364546.07
128,245107.17
129,213902.58
130,400946.75
131,31230.19
132,50161.91
133,81095.59
134,11228.04
135,45393.51
136,38962.79
137,161510.87
138,174884.21
139,105716.82
140,26781.93
141,108924.5
142,469539.02
143,18389.89
144,36635.24
145,94327.39
146,56272.33
147,616274.3
148,113290.99
149,240920.4
150,278700.25
151,88311.26
152,19015.8
153,88867.83
154,35948.87
155,284068.63
156,82572.68
157,90251.3
158,297424.62
159,139973.81
160,86545.24
161,59753.9
162,111625.37
163,46494.67
164,582685.14
165,134675.8
166,35134.48
167,165822.57
168,234250.81
169,188940.56
170,48299.14
171,458703.67
172,98183.91
173,69107.01
174,106304.57
175,18155.16
176,268091.27
177,179001.84
178,53457.72
179,304918.38
180,18038.04
181,313864.06
182,296630.05
183,530178.92
184,64046.22
185,36396.54
186,250884.83
187,219011.05
188,29218.17
189,135898.79
190,236517.23
191,271610.5
192,255903.56
193,153952.47
194,87753.61
195,14184.95
196,173042.19
197,225840.94
198,124288.59
199,92405.39
200,500198.25
201,138746.68
202,248564.04
203,33024.99
204,30221.04
205,199461.58
206,29609.26
207,139009.09
208,316062.5
209,33491.66
210,137549.13
211,26950.51
212,303912.7
213,48590.78
214,74836.91
215,24149.53
216,38353.52
217,97476.76
218,194009.2
219,9781.29
220,168745.96
221,92677.96
222,229392.54
223,34311.66
224,285423.49
225,26191.04
226,13117.82
227,37994.77
228,209992.18
229,157659.08
230,237001.01
231,181490.77
232,36579.0
233,15853.98
234,143281.76
235,24847.21
236,104036.49
237,243654.31
238,76590.86
239,331044.5
240,152313.3
241,124354.99
242,35396.31
243,123922.55
244,162059.85
245,145397.18
246,58102.65
247,96449.86
248,176785.8
249,72610.31
250,243700.73
251,385161.09
252,50259.94
253,292793.69
254,27026.91
255,55103.19
256,239373.3
257,73014.11
258,282795.6
259,73304.35
260,146595.41
261,23216.78
262,229329.77
263,17040.41
264,516204.58
265,54949.07
266,35108.88
267,9470.4
268,29163.65
269,49953.42
270,107974.57
271,257173.55
272,54950.8
273,26461.13
274,48430.71
275,60483.05
276,43352.24
277,408328.56
278,21422.8
279,351208.56
280,417394.82
281,207012.16
282,129223.34
283,44346.36
284,45982.58
285,45521.68
286,108713.05
287,168538.64
288,355390.05
289,56938.84
290,23815.59
291,85078.89
292,175831.82
293,99761.68
294,23072.23
295,65276.89
296,93897.89
297,73218.29
298,136737.71
299,145413.36
300,41719.86
301,119702.39
302,276467.86
303,34403.47
304,133154.42
305,544849.8
306,37412.72
307,36824.29
308,72237.05
309,35724.05
310,65265.97
311,158582.91
312,270731.74
313,47222.34
314,96462.75
315,36289.99
316,32230.51
317,194493.09
318,60429.28
319,29089.81
320,42895.98
321,177353.78
322,40843.49
323,402756.22
324,23111.05
325,30239.96
326,82194.77
327,165306.68
328,198594.32
329,100592.72
330,330452.29
331,97505.68
332,17842.28
333,48006.17
334,310011.14
335,87755.59
